project_name,total,lost_coverage_lines,improve_coverage_lines
commons-io,0.0,0.0,0.0
unix4j,898.8571428571429,1345.428571428571,-446.57142857142856
jfreechart,6.4,9.0,-2.6
pippo,10.142857142857142,30.714285714285715,-20.571428571428573
junit-quickcheck,392.0,428.3333333333333,-36.333333333333336
aismessages,-21.0,0.0,-21.0
rxjava2-extras,-36.0,11.0,-47.0
elastic-job-lite,4266.0,4266.0,0.0
wikidata-toolkit,3072.375,3072.5,-0.125
marine-api,-27.5,0.0,-27.5
redpipe,130.5,130.5,0.0
média,790.1613636363636,844.8614718614718,-54.70010822510823
sum,8691.775,9293.47619047619,-601.7011904761905
