project_name,total,lost_coverage_lines,improve_coverage_lines
commons-io,0.3333333333333333,0.3333333333333333,0.0
unix4j,-429.8571428571428,26.142857142857142,-456.0
jfreechart,7.5,9.0,-1.5
search-highlighter,586.5,589.0,-2.5
pippo,17.625,17.625,0.0
junit-quickcheck,418.0,453.5,-35.5
aismessages,0.0,0.0,0.0
rxjava2-extras,-30.857142857142858,17.285714285714285,-48.142857142857146
wikidata-toolkit,1462.375,1462.375,0.0
marine-api,0.0,0.0,0.0
redpipe,0.0,0.0,0.0
média,184.6926406926407,234.1147186147186,-49.42207792207792
sum,2031.6190476190477,2575.2619047619046,-543.6428571428571
