project_name,total,lost_coverage_lines,improve_coverage_lines
commons-io,2.0,2.0,0.0
unix4j,0.1428571428571428,376.1428571428572,-376.0
jfreechart,7.2,9.0,-1.8
search-highlighter,-841.0,1.0,-842.0
pippo,47.0,47.0,0.0
junit-quickcheck,410.3333333333333,457.6666666666667,-47.333333333333336
aismessages,0.0,0.0,0.0
rxjava2-extras,-27.5,22.0,-49.5
wikidata-toolkit,2398.625,2398.625,0.0
marine-api,0.0,0.0,0.0
média,199.68011904761903,331.3434523809524,-131.66333333333333
sum,1996.8011904761904,3313.434523809524,-1316.6333333333332
