project_name,total,lost_coverage_lines,improve_coverage_lines
commons-io,0.0,0.0,0.0
unix4j,275.0,276.7142857142857,-1.7142857142857142
jfreechart,-7.0,0.0,-7.0
search-highlighter,834.0,834.0,0.0
pippo,-23.571428571428573,2.571428571428572,-26.142857142857142
junit-quickcheck,34.0,34.0,0.0
aismessages,0.0,0.0,0.0
rxjava2-extras,28.0,73.5,-45.5
elastic-job-lite,0.0,0.0,0.0
wikidata-toolkit,0.0,0.0,0.0
marine-api,0.2857142857142857,0.2857142857142857,0.0
redpipe,0.0,0.0,0.0
média,95.0595238095238,101.7559523809524,-6.69642857142857
sum,1140.7142857142856,1221.0714285714287,-80.35714285714285
