project_name,total,lost_coverage_lines,improve_coverage_lines
commons-io,0.0,0.0,0.0
unix4j,733.0,1017.1428571428572,-284.1428571428572
jfreechart,9.0,9.0,0.0
search-highlighter,338.0,1172.0,-834.0
pippo,19.0,39.57142857142857,-20.571428571428573
junit-quickcheck,-48.0,0.0,-48.0
aismessages,0.0,0.0,0.0
rxjava2-extras,-41.0,10.5,-51.5
elastic-job-lite,3555.0,3555.0,0.0
wikidata-toolkit,1850.875,1850.875,0.0
marine-api,-0.2857142857142857,0.0,-0.2857142857142857
redpipe,0.0,0.0,0.0
média,534.6324404761905,637.8407738095239,-103.20833333333336
sum,6415.589285714285,7654.089285714286,-1238.5000000000002
