project_name,total,lost_coverage_lines,improve_coverage_lines
commons-io,2.0,2.0,0.0
unix4j,634.2857142857143,1016.7142857142856,-382.4285714285714
jfreechart,6.75,9.0,-2.25
search-highlighter,755.5,1173.0,-417.5
pippo,93.5,93.5,0.0
aismessages,0.0,0.0,0.0
rxjava2-extras,-37.0,10.0,-47.0
elastic-job-lite,4977.0,4977.0,0.0
wikidata-toolkit,1312.625,1312.625,0.0
marine-api,0.0,0.0,0.0
redpipe,138.66666666666666,138.66666666666666,0.0
média,716.6661255411256,793.8641774891775,-77.19805194805194
sum,7883.327380952381,8732.505952380952,-849.1785714285713
