project_name,total,lost_coverage_lines,improve_coverage_lines
commons-io,-0.6666666666666666,0.0,-0.6666666666666666
unix4j,-460.57142857142856,25.714285714285715,-486.2857142857143
jfreechart,6.0,9.0,-3.0
search-highlighter,166.0,587.5,-421.5
pippo,41.125,41.125,0.0
aismessages,-10.5,0.0,-10.5
rxjava2-extras,-30.666666666666668,26.0,-56.66666666666666
wikidata-toolkit,2253.125,2253.5,-0.375
marine-api,0.0,0.0,0.0
média,218.20502645502648,326.9821428571429,-108.7771164021164
sum,1963.8452380952383,2942.839285714286,-978.9940476190476
