project_name,total,lost_coverage_lines,improve_coverage_lines
commons-io,0.6666666666666666,0.6666666666666666,0.0
unix4j,473.4285714285714,475.1428571428572,-1.7142857142857142
jfreechart,-7.0,0.0,-7.0
search-highlighter,416.5,417.5,-1.0
pippo,2.25,2.625,-0.375
aismessages,10.5,10.5,0.0
rxjava2-extras,30.0,75.33333333333333,-45.333333333333336
wikidata-toolkit,0.375,0.375,0.0
marine-api,0.0,0.0,0.0
média,102.96891534391534,109.12698412698414,-6.158068783068783
sum,926.7202380952381,982.1428571428572,-55.42261904761905
