project_name,total,lost_coverage_lines,improve_coverage_lines
robotframework,0.0,0.0,0.0
pybuilder,0.0,0.0,0.0
softlayer,-1868.0,0.0,-1868.0
cloud-init,-1465.75,0.0,-1465.75
vhs-teletext,-66.14285714285714,0.8571428571428571,-67.0
acitoolkit,-0.5454545454545454,0.0,-0.5454545454545454
polling,0.0,0.0,0.0
jedi,2.0,2.0,0.0
stig,0.0,0.0,0.0
drmaa-python,0.0,0.0,0.0
RxPY,-694.5,5.5,-700.0
spotipy,-5.0,1.0,-6.0
grimoirelab-perceval,0.0,0.0,0.0
aws-cli,-2526.714285714286,0.0,-2526.714285714286
média,-473.18947124304265,0.6683673469387755,-473.85783858998144
sum,-6624.652597402597,9.357142857142858,-6634.00974025974
