project_name,total,lost_coverage_lines,improve_coverage_lines
robotframework,0.0,0.0,0.0
pybuilder,0.0,0.0,0.0
softlayer,-1246.857142857143,0.0,-1246.857142857143
cloud-init,-1453.1666666666667,2.25,-1455.4166666666667
vhs-teletext,-66.57142857142857,0.1428571428571428,-66.71428571428571
acitoolkit,-0.25,0.0,-0.25
polling,0.0,0.0,0.0
jedi,2.0,2.0,0.0
stig,0.0,0.0,0.0
drmaa-python,0.0,0.0,0.0
RxPY,-694.5,5.5,-700.0
grimoirelab,0.0,0.0,0.0
spotipy,-5.0,1.0,-6.0
aws-cli,-1894.5,0.0,-1894.5
média,-382.7746598639456,0.7780612244897959,-383.55272108843536
sum,-5358.8452380952385,10.892857142857142,-5369.738095238095
