project_name,total,lost_coverage_lines,improve_coverage_lines
robotframework,0.0,0.0,0.0
pybuilder,0.0,0.0,0.0
softlayer,-623.0,0.0,-623.0
cloud-init,-1456.5833333333333,2.25,-1458.8333333333333
vhs-teletext,-941.0,0.0,-941.0
acitoolkit,-0.5454545454545454,0.0,-0.5454545454545454
polling,0.0,0.0,0.0
jedi,7.0,7.0,0.0
stig,0.0,0.0,0.0
drmaa-python,0.0,0.0,0.0
RxPY,-160.875,14.0,-174.875
grimoirelab,0.0,0.0,0.0
spotipy,0.0,0.0,0.0
aws-cli,-634.1428571428571,0.0,-634.1428571428571
média,-272.0819032158318,1.6607142857142858,-273.7426175015461
sum,-3809.146645021645,23.25,-3832.396645021645
