project_name,total,lost_coverage_lines,improve_coverage_lines
robotframework,0.0,0.0,0.0
pybuilder,0.0,0.0,0.0
softlayer,-1.5714285714285714,0.0,-1.5714285714285714
cloud-init,-2907.6666666666665,2.25,-2909.9166666666665
vhs-teletext,-66.42857142857143,0.2857142857142857,-66.71428571428571
acitoolkit,-0.7,0.0,-0.7
polling,0.0,0.0,0.0
jedi,3.5,3.5,0.0
stig,0.0,0.0,0.0
drmaa-python,0.0,0.0,0.0
RxPY,-160.25,14.0,-174.25
grimoirelab,0.0,0.0,0.0
spotipy,0.0,0.0,0.0
aws-cli,-0.5,0.0,-0.5
média,-223.82976190476188,1.4311224489795917,-225.26088435374146
sum,-3133.6166666666663,20.035714285714285,-3153.6523809523806
