project_name,total,lost_coverage_lines,improve_coverage_lines
robotframework,0.0,0.0,0.0
pybuilder,0.0,0.0,0.0
softlayer,-18.285714285714285,0.0,-18.285714285714285
cloud-init,-20.33333333333333,2.25,-22.58333333333333
vhs-teletext,-66.0,0.7142857142857143,-66.71428571428571
acitoolkit,-0.5,0.0,-0.5
polling,0.0,0.0,0.0
jedi,5.5,5.5,0.0
stig,0.0,0.0,0.0
drmaa-python,0.0,0.0,0.0
RxPY,-342.625,8.25,-350.875
spotipy,-5.0,1.0,-6.0
grimoirelab-perceval,0.0,0.0,0.0
aws-cli,-0.6428571428571429,0.0,-0.6428571428571429
média,-31.99192176870748,1.2653061224489797,-33.25722789115646
sum,-447.88690476190476,17.714285714285715,-465.6011904761905
