project_name,total,lost_coverage_lines,improve_coverage_lines
robotframework,0.0,0.0,0.0
pybuilder,0.0,0.0,0.0
softlayer,-13.285714285714286,0.0,-13.285714285714286
cloud-init,-29.416666666666668,2.9166666666666665,-32.333333333333336
vhs-teletext,-941.0,0.0,-941.0
acitoolkit,-0.5555555555555556,0.0,-0.5555555555555556
polling,0.0,0.0,0.0
jedi,3.5,3.5,0.0
stig,0.0,0.0,0.0
drmaa-python,0.0,0.0,0.0
RxPY,1.625,15.875,-14.25
grimoirelab,0.0,0.0,0.0
spotipy,0.0,0.0,0.0
aws-cli,-8.0,0.0,-8.0
média,-70.5094954648526,1.5922619047619047,-72.1017573696145
sum,-987.1329365079365,22.291666666666664,-1009.4246031746031
