project_name,total,lost_coverage_lines,improve_coverage_lines
robotframework,0.0,0.0,0.0
pybuilder,0.0,0.0,0.0
softlayer,-1248.571428571429,0.0,-1248.571428571429
cloud-init,-2927.1666666666665,2.25,-2929.4166666666665
vhs-teletext,-941.0,0.0,-941.0
acitoolkit,-0.25,0.0,-0.25
polling,0.0,0.0,0.0
jedi,6.0,6.0,0.0
stig,0.0,0.0,0.0
drmaa-python,0.0,0.0,0.0
RxPY,-341.0,11.875,-352.875
grimoirelab,0.0,0.0,0.0
spotipy,0.0,0.0,0.0
aws-cli,-635.3571428571429,0.0,-635.3571428571429
média,-434.8103741496599,1.4375,-436.2478741496599
sum,-6087.3452380952385,20.125,-6107.4702380952385
