project_name,total,lost_coverage_lines,improve_coverage_lines
robotframework,0.0,0.0,0.0
pybuilder,0.0,0.0,0.0
softlayer,-2.0,0.0,-2.0
cloud-init,-5825.583333333333,2.75,-5828.333333333333
vhs-teletext,-130.42857142857142,0.1428571428571428,-130.57142857142858
acitoolkit,-0.3,0.0,-0.3
polling,-25.0,0.0,-25.0
jedi,2.0,2.0,0.0
stig,0.0,0.0,0.0
drmaa-python,0.0,0.0,0.0
RxPY,-518.25,6.875,-525.125
spotipy,-5.0,1.0,-6.0
grimoirelab-perceval,0.0,0.0,0.0
aws-cli,-632.2142857142857,0.0,-632.2142857142857
média,-509.76972789115644,0.9119897959183673,-510.6817176870748
sum,-7136.77619047619,12.767857142857142,-7149.544047619047
