project_name,total,lost_coverage_lines,improve_coverage_lines
robotframework,0.0,0.0,0.0
pybuilder,0.0,0.0,0.0
softlayer,-622.7142857142857,0.0,-622.7142857142857
cloud-init,-5817.5,2.25,-5819.75
vhs-teletext,-66.14285714285714,1.4285714285714286,-67.57142857142857
acitoolkit,-0.5,0.0,-0.5
polling,0.0,0.0,0.0
jedi,5.5,5.5,0.0
stig,0.0,0.0,0.0
drmaa-python,0.0,0.0,0.0
RxPY,-521.25,6.875,-528.125
spotipy,-5.0,1.0,-6.0
grimoirelab-perceval,0.0,0.0,0.0
aws-cli,-3789.357142857143,0.0,-3789.357142857143
média,-772.640306122449,1.2181122448979593,-773.8584183673469
sum,-10816.964285714286,17.05357142857143,-10834.017857142857
