project_name,total,lost_coverage_lines,improve_coverage_lines
robotframework,0.0,0.0,0.0
pybuilder,0.0,0.0,0.0
softlayer,-2491.285714285714,0.0,-2491.285714285714
cloud-init,-11641.75,2.4166666666666665,-11644.166666666666
vhs-teletext,-320.85714285714283,0.7142857142857143,-321.57142857142856
acitoolkit,-0.6,0.0,-0.6
polling,0.0,0.0,0.0
jedi,-2327.5,4.5,-2332.0
stig,0.0,0.0,0.0
drmaa-python,0.0,0.0,0.0
RxPY,-870.875,4.125,-875.0
spotipy,-5.0,1.0,-6.0
grimoirelab-perceval,0.0,0.0,0.0
aws-cli,-6315.571428571428,0.0,-6315.571428571428
média,-1712.3885204081632,0.9111394557823129,-1713.2996598639454
sum,-23973.439285714285,12.755952380952381,-23986.195238095235
