project_name,total,lost_coverage_lines,improve_coverage_lines
robotframework,0.0,0.0,0.0
pybuilder,0.0,0.0,0.0
softlayer,-0.1428571428571428,0.0,-0.1428571428571428
cloud-init,-1459.0,2.25,-1461.25
vhs-teletext,-3.0,0.0,-3.0
acitoolkit,-0.5833333333333334,0.0,-0.5833333333333334
polling,0.0,0.0,0.0
jedi,3.5,3.5,0.0
stig,0.0,0.0,0.0
drmaa-python,0.0,0.0,0.0
RxPY,15.75,16.0,-0.25
grimoirelab,0.0,0.0,0.0
spotipy,0.0,0.0,0.0
aws-cli,0.0,0.0,0.0
média,-103.10544217687074,1.5535714285714286,-104.65901360544217
sum,-1443.4761904761904,21.75,-1465.2261904761904
