project_name,total,lost_coverage_lines,improve_coverage_lines
unix4j,-10.428571428571429,375.8571428571428,-386.2857142857143
jfreechart,6.0,9.0,-3.0
search-highlighter,782.0,784.0,-2.0
pippo,20.142857142857142,20.142857142857142,0.0
junit-quickcheck,559.6,607.2,-47.6
aismessages,-19.5,0.0,-19.5
rxjava2-extras,-33.0,19.6,-52.6
wikidata-toolkit,538.0,538.25,-0.25
marine-api,-0.75,0.0,-0.75
média,204.67380952380952,261.56111111111113,-56.887301587301586
sum,1842.0642857142857,2354.05,-511.98571428571427
