project_name,total,lost_coverage_lines,improve_coverage_lines
commons-io,0.0,0.0,0.0
unix4j,-76.71428571428571,359.42857142857144,-436.1428571428572
jfreechart,9.0,9.0,0.0
search-highlighter,616.3333333333334,1172.6666666666667,-556.3333333333334
junit-quickcheck,1251.25,1292.75,-41.5
aismessages,-5.666666666666667,0.0,-5.666666666666667
rxjava2-extras,-39.0,10.0,-49.0
elastic-job-lite,4266.0,4266.0,0.0
wikidata-toolkit,2087.25,2103.75,-16.5
marine-api,0.0,0.0,0.0
redpipe,0.0,0.0,0.0
média,737.1320346320346,837.5995670995671,-100.46753246753248
sum,8108.452380952381,9213.595238095239,-1105.1428571428573
