project_name,total,lost_coverage_lines,improve_coverage_lines
unix4j,1014.1428571428572,1097.7142857142858,-83.57142857142857
jfreechart,7.2,9.0,-1.8
search-highlighter,338.0,1172.0,-834.0
pippo,74.875,74.875,0.0
junit-quickcheck,578.4,612.4,-34.0
aismessages,-61.66666666666666,0.0,-61.66666666666666
rxjava2-extras,-39.5,10.5,-50.0
wikidata-toolkit,1727.375,1727.75,-0.375
marine-api,-0.7142857142857143,0.0,-0.7142857142857143
média,404.2346560846561,522.693253968254,-118.4585978835979
sum,3638.111904761905,4704.239285714286,-1066.1273809523811
