project_name,total,lost_coverage_lines,improve_coverage_lines
unix4j,72.14285714285714,74.28571428571429,-2.142857142857143
jfreechart,-5.2,1.8,-7.0
search-highlighter,834.0,834.0,0.0
pippo,2.625,2.625,0.0
junit-quickcheck,-592.4,20.4,-612.8
aismessages,61.66666666666666,61.66666666666666,0.0
rxjava2-extras,26.5,72.0,-45.5
wikidata-toolkit,0.0,0.375,-0.375
marine-api,0.7142857142857143,0.7142857142857143,0.0
média,44.44986772486773,118.65185185185186,-74.20198412698412
sum,400.04880952380955,1067.8666666666668,-667.8178571428571
