project_name,total,lost_coverage_lines,improve_coverage_lines
unix4j,333.42857142857144,688.4285714285714,-355.0
jfreechart,9.0,9.0,0.0
search-highlighter,338.0,1172.0,-834.0
pippo,93.5,93.5,0.0
junit-quickcheck,53.5,84.0,-30.5
aismessages,-59.66666666666666,0.0,-59.66666666666666
rxjava2-extras,-41.75,10.0,-51.75
elastic-job-lite,4977.0,4977.0,0.0
wikidata-toolkit,2251.625,2253.5,-1.875
marine-api,-8.0,0.0,-8.0
redpipe,21.33333333333333,21.33333333333333,0.0
média,724.3609307359307,846.2510822510824,-121.89015151515152
sum,7967.970238095238,9308.761904761906,-1340.7916666666667
