project_name,total,lost_coverage_lines,improve_coverage_lines
unix4j,411.4285714285714,413.57142857142856,-2.142857142857143
jfreechart,-7.0,0.0,-7.0
search-highlighter,834.0,834.0,0.0
pippo,-7.666666666666667,2.5,-10.166666666666666
junit-quickcheck,-252.4,17.2,-269.6
aismessages,7.333333333333333,7.333333333333333,0.0
rxjava2-extras,28.75,74.0,-45.25
elastic-job-lite,0.0,0.0,0.0
wikidata-toolkit,2.0,2.0,0.0
marine-api,0.0,0.0,0.0
redpipe,0.0,0.0,0.0
média,92.40411255411256,122.78225108225107,-30.37813852813853
sum,1016.4452380952382,1350.6047619047617,-334.1595238095238
